Date,Open,High,Low,Close,Adj Close,Volume,OilPrice,deaths,DPRIME,TOTALSA,GoogleTrend,new_cases,new_deaths
2020/5/4,140.199997,152.399994,139.600006,152.238007,152.238007,19237100,18.49,1,3.25,0.413566667,64,24972,1297
2020/5/5,157.957993,159.783997,152.436005,153.641998,153.641998,16991700,20.4,1,3.25,0.413566667,65,22593,1252
2020/5/6,155.300003,157.960007,152.222,156.516006,156.516006,11123200,25.46,0,3.25,0.413566667,64,23841,2144
2020/5/7,155.442001,159.279999,154.470001,156.007996,156.007996,11527700,24.2,0,3.25,0.413566667,61,24128,2353
2020/5/8,158.753998,164.800003,157.401993,163.884003,163.884003,16130100,24.23,0,3.25,0.413566667,67,28369,2239
2020/5/11,158.102005,164.800003,157,162.257996,162.257996,16519600,25.53,0,3.25,0.413566667,83,20258,734
2020/5/12,165.399994,168.658005,161.600006,161.882004,161.882004,15906900,26.67,0,3.25,0.413566667,89,18117,1156
2020/5/13,164.166,165.199997,152.660004,158.192001,158.192001,19065500,27.89,0,3.25,0.413566667,77,22048,1703
2020/5/14,156,160.671997,152.800003,160.666,160.666,13637500,29.87,1,3.25,0.413566667,67,20782,1746
2020/5/15,158.070007,161.009995,157.309998,159.834,159.834,52592000,30.95,0,3.25,0.413566667,65,27143,1773
2020/5/18,165.556,166.944,160.776001,162.725998,162.725998,58490500,33.3,0,3.25,0.413566667,63,18873,808
2020/5/19,163.033997,164.414001,161.216003,161.602005,161.602005,48182500,33.06,0,3.25,0.413566667,64,21841,791
2020/5/20,164.100006,165.199997,162.360001,163.112,163.112,36546500,34.76,0,3.25,0.413566667,60,19970,1568
2020/5/21,163.199997,166.5,159.199997,165.520004,165.520004,61273000,34.78,0,3.25,0.413566667,58,23285,1518
2020/5/22,164.434006,166.356003,162.399994,163.376007,163.376007,49937500,33.8,0,3.25,0.413566667,55,25434,1263
2020/5/26,166.899994,166.919998,163.141998,163.774002,163.774002,40448500,33.95,0,3.25,0.413566667,64,19064,500
2020/5/27,164.171997,165.542007,157,164.046005,164.046005,57747500,32.73,0,3.25,0.413566667,90,18910,696
2020/5/28,162.701996,164.949997,160.337997,161.162003,161.162003,36278000,33.98,0,3.25,0.413566667,73,18721,1526
2020/5/29,161.75,167,160.841995,167,167,59062500,34.15,0,3.25,0.413566667,67,21817,1175
2020/5/29,161.75,167,160.841995,167,167,59062500,36.74,0,3.25,0.413566667,36,21817,1175
2020/6/1,171.600006,179.800003,170.820007,179.619995,179.619995,74697500,37.72,0,3.25,0.445066667,42,19807,602
2020/6/2,178.940002,181.731995,174.199997,176.311996,176.311996,67828000,37.98,0,3.25,0.445066667,38,21086,764
2020/6/3,177.623993,179.587997,176.020004,176.591995,176.591995,39747500,38.41,0,3.25,0.445066667,38,20544,1034
2020/6/4,177.975998,179.149994,171.688004,172.876007,172.876007,44438500,41,0,3.25,0.445066667,35,19699,994
2020/6/5,175.567993,177.304001,173.240005,177.132004,177.132004,39059500,39.66,0,3.25,0.445066667,37,21140,1036
2020/6/8,183.800003,190,181.832001,189.983994,189.983994,70873500,40.45,1,3.25,0.445066667,45,22302,712
2020/6/9,188.001999,190.888,184.785995,188.134003,188.134003,56941000,41.18,0,3.25,0.445066667,50,18822,493
2020/6/10,198.376007,205.496002,196.5,205.009995,205.009995,92817000,37.76,0,3.25,0.445066667,60,18665,999
2020/6/11,198.039993,203.792007,194.399994,194.567993,194.567993,79582500,38.54,0,3.25,0.445066667,57,20614,918
2020/6/12,196,197.595993,182.520004,187.056,187.056,83817000,39.44,0,3.25,0.445066667,51,22883,896
2020/6/15,183.557999,199.768005,181.699997,198.179993,198.179993,78486000,40.75,0,3.25,0.445066667,44,19543,296
2020/6/16,202.369995,202.576004,192.477997,196.425995,196.425995,70255500,40.47,0,3.25,0.445066667,48,19957,395
2020/6/17,197.542007,201,196.514008,198.358002,198.358002,49454000,41.75,1,3.25,0.445066667,44,23705,836
2020/6/18,200.600006,203.839996,198.893997,200.792007,200.792007,48759500,42.33,0,3.25,0.445066667,43,25559,754
2020/6/19,202.556,203.194,198.268005,200.179993,200.179993,43398500,43.2,0,3.25,0.445066667,46,27762,717
2020/6/22,199.990005,201.776001,198.003998,198.863998,198.863998,31812000,42.72,0,3.25,0.445066667,46,25793,256
2020/6/23,199.776001,202.399994,198.802002,200.356003,200.356003,31826500,40.4,1,3.25,0.445066667,44,31390,427
2020/6/24,198.822006,200.175995,190.628006,192.169998,192.169998,54798000,41.18,0,3.25,0.445066667,45,34720,826
2020/6/25,190.854004,197.195999,187.429993,197.195999,197.195999,46272500,40.97,0,3.25,0.445066667,44,34339,751
2020/6/26,198.955994,199,190.973999,191.947998,191.947998,44274500,41.58,0,3.25,0.445066667,43,40949,2437
2020/6/29,193.802002,202,189.703995,201.869995,201.869995,45132000,41.64,0,3.25,0.445066667,42,38673,265
2020/6/30,201.300003,217.537994,200.746002,215.962006,215.962006,84592500,42.18,0,3.25,0.445066667,48,41556,336
2020/7/1,216.600006,227.065994,216.100006,223.925995,223.925995,66634500,43.19,0,3.25,0.498333333,54,43880,1270
2020/7/2,244.296005,245.600006,237.119995,241.731995,241.731995,86250500,42.92,0,3.25,0.498333333,67,52048,652
2020/7/6,255.337997,275.558014,253.207993,274.31601,274.31601,102849500,42.73,0,3.25,0.498333333,72,49093,271
